A,B,C,b_limite,Volumen,Area,Energia
3.4,0.35,6.25,7.114,104.4034,135.7399,31.41610175709431
3.4,0.35,6.3,7.158,107.3028,138.049,18.75035498185833
3.4,0.35,6.35,7.202,110.2503,140.3747,18.780525892274213
3.45,0.35,6.25,7.138,103.7171,135.499,18.6622033306384
3.45,0.35,6.3,7.182,106.6131,137.812,18.693672986330764
3.45,0.35,6.35,7.226,109.557,140.1413,18.724521930765654
3.5,0.35,6.25,7.162,103.0172,135.248,18.604415415795355
3.5,0.35,6.3,7.206,105.9095,137.5647,18.636570428349472
3.5,0.35,6.35,7.25,108.8502,139.8975,18.668095323303426
3.55,0.35,6.25,7.186,102.3032,134.9865,18.546226419522696
3.55,0.35,6.3,7.23,105.1921,137.307,18.579063767384795
3.55,0.35,6.35,7.274,108.1291,139.6437,18.61126198344122
3.55,0.35,6.4,7.318,111.1147,141.9969,31.36639112529438
3.6,0.35,6.3,7.256,104.4603,137.0523,31.2876396448497
3.6,0.35,6.35,7.298,107.3939,139.3795,18.55403812503721
3.6,0.35,6.4,7.342,110.3759,141.7363,18.586273629619807
3.65,0.35,6.3,7.28,103.7146,136.7733,18.46290564232356
3.65,0.35,6.35,7.324,106.6445,139.118,18.496440289792645
3.65,0.35,6.4,7.366,109.623,141.4654,18.52933390016251
3.7,0.35,6.3,7.306,102.9542,136.4963,18.404288829036236
3.7,0.35,6.35,7.348,105.8805,138.8322,18.438485364658533
3.7,0.35,6.4,7.392,108.8555,141.1973,31.255860758961983
3.75,0.35,6.3,7.33,102.1794,136.1951,18.345337288786407
3.75,0.35,6.35,7.374,105.102,138.5482,18.380190625249735
3.75,0.35,6.4,7.416,108.0733,140.9042,31.218600689492394
3.8,0.35,6.35,7.4,104.3086,138.2532,31.15866253414362
3.8,0.35,6.4,7.442,107.2762,140.6139,18.35641536059675
3.85,0.35,6.35,7.424,103.5006,137.933,18.26265293025472
3.85,0.35,6.4,7.468,106.4642,140.3114,18.298132892849324
3.9,0.35,6.35,7.452,102.6772,137.6269,18.20344678033299
3.9,0.35,6.4,7.494,105.6372,139.9972,18.239558439741813
3.95,0.35,6.4,7.52,104.7951,139.6709,31.067846379666047
4.0,0.35,6.4,7.546,103.9372,139.3321,18.12160784128745
4.0,0.35,6.45,7.588,106.9386,141.728,18.158289544234542
4.05,0.35,6.4,7.572,103.064,138.9803,18.062270278459465
4.05,0.35,6.45,7.616,106.0616,141.3946,18.099555130120848
4.1,0.35,6.4,7.6,102.1751,138.6284,18.002718013191966
4.1,0.35,6.45,7.642,105.169,141.0355,18.040596713238678
4.15,0.35,6.45,7.668,104.2602,140.6632,30.939752767991113
4.2,0.35,6.45,7.696,103.3355,140.29,17.922088891779666
4.25,0.35,6.45,7.724,102.3944,139.9027,30.863615787074508
4.3,0.35,6.5,7.792,104.4645,141.9345,30.850715719979508
4.35,0.35,6.5,7.82,103.4864,141.525,17.783180583241577
4.4,0.35,6.5,7.848,102.4919,141.1005,17.72384704965631
3.65,0.4,5.85,6.894,103.7948,133.9639,31.725545594408377
3.7,0.4,5.85,6.92,102.8432,133.582,19.24143529428605
3.7,0.4,5.9,6.964,106.1173,136.131,19.280873455703468
3.75,0.4,5.9,6.99,105.1427,135.7398,19.21847862829011
3.8,0.4,5.9,7.016,104.1486,135.3336,31.626387422870664
3.8,0.4,5.95,7.058,107.4723,137.8971,19.195880927377527
3.85,0.4,5.9,7.044,103.1358,134.927,19.093107572779402
3.85,0.4,5.95,7.086,106.4548,137.4975,19.133743275867882
3.85,0.4,6.0,7.128,109.833,140.0851,19.173635247752582
3.9,0.4,5.9,7.072,102.1035,134.5043,19.03019286862478
3.9,0.4,5.95,7.114,105.4176,137.0818,19.07144550259348
3.9,0.4,6.0,7.156,108.7911,139.6765,19.11195570247977
3.95,0.4,5.95,7.14,104.3609,136.6344,19.00901886575399
3.95,0.4,6.0,7.182,107.7296,139.236,19.050129274025398
3.95,0.4,6.05,7.224,111.1583,141.8548,19.090510387162706
4.0,0.4,5.95,7.168,103.2843,136.1857,18.946496296593637
4.0,0.4,6.0,7.21,106.6484,138.7949,31.514860707587513
4.0,0.4,6.05,7.252,110.0721,141.4209,31.542048324217962
4.05,0.4,5.95,7.196,102.1876,135.7198,18.883912588429958
4.05,0.4,6.0,7.238,105.5468,138.3367,18.92616155525946
4.05,0.4,6.05,7.28,108.9659,140.9702,18.967690259093953
4.1,0.4,6.0,7.266,104.425,137.8611,18.864087545020812
4.1,0.4,6.05,7.308,107.8391,140.5025,31.46054683390127
4.15,0.4,6.0,7.294,103.2825,137.3675,18.802001637599314
4.15,0.4,6.05,7.336,106.692,140.0172,18.84458898043138
4.2,0.4,6.0,7.322,102.1195,136.8557,18.739942874886733
4.2,0.4,6.05,7.364,105.5238,139.5137,18.783020238585994
4.25,0.4,6.05,7.392,104.3349,138.9919,18.721490440063064
4.25,0.4,6.1,7.434,107.7945,141.6748,18.76435359668937
4.3,0.4,6.05,7.422,103.1246,138.4656,18.660041759434563
4.3,0.4,6.1,7.462,106.5794,141.1429,31.327097428941084
4.35,0.4,6.1,7.492,105.3427,140.6064,18.64243617857691
4.4,0.4,6.1,7.52,104.0844,140.0349,31.24775875185175
4.45,0.4,6.1,7.55,102.8041,139.4579,18.52121506825465
4.5,0.4,6.15,7.62,104.9971,141.5922,18.505046327305745
4.55,0.4,6.15,7.65,103.6673,140.9829,18.445530187420815
