    A       B       C     b_limite       Volumen           Area Superficial
  -5.000   0.400  -2.100    5.4220               NaN      1.632342E+00
  -5.000   0.400  -2.000    5.3840               NaN      1.342172E+00
  -5.000   0.400  -1.900    5.3480               NaN      1.092084E+00
  -5.000   0.400  -1.800    5.3140               NaN      8.803963E-01
  -5.000   0.400  -1.700    5.2800               NaN      6.992710E-01
  -5.000   0.400  -1.600    5.2480               NaN      5.478905E-01
  -5.000   0.400  -1.500    5.2200               NaN      4.240071E-01
  -5.000   0.400  -1.400    5.1920               NaN      3.214710E-01
  -5.000   0.400  -1.300    5.1660               NaN      2.389681E-01
  -5.000   0.400  -1.200    5.1400               NaN      1.728677E-01
  -5.000   0.400  -1.100    5.1180               NaN      1.221235E-01
  -5.000   0.400  -1.000    5.0980               NaN      8.335212E-02
  -5.000   0.400  -0.900    5.0800               NaN      5.485654E-02
  -5.000   0.400  -0.800    5.0620               NaN      3.404976E-02
  -5.000   0.400  -0.700    5.0480               NaN      2.005415E-02
  -5.000   0.400  -0.600    5.0340               NaN      1.065614E-02
  -5.000   0.400  -0.500    5.0240               NaN      5.141113E-03
  -5.000   0.400  -0.400    5.0140               NaN      2.046844E-03
  -5.000   0.400  -0.300    5.0080               NaN      6.403517E-04
  -5.000   0.400  -0.200    5.0020               NaN      1.001784E-04
  -5.000   0.400  -0.100    5.0000               NaN      5.758571E-06
  -5.000   0.400   0.000    4.9980               NaN      0.000000E+00
  -5.000   0.400   0.100    5.0000               NaN      5.758571E-06
  -5.000   0.400   0.200    5.0020               NaN      1.001784E-04
  -5.000   0.400   0.300    5.0080               NaN      6.403517E-04
  -5.000   0.400   0.400    5.0140               NaN      2.046844E-03
  -5.000   0.400   0.500    5.0240               NaN      5.141113E-03
  -5.000   0.400   0.600    5.0340               NaN      1.065614E-02
  -5.000   0.400   0.700    5.0480               NaN      2.005415E-02
  -5.000   0.400   0.800    5.0620               NaN      3.404976E-02
  -5.000   0.400   0.900    5.0800               NaN      5.485654E-02
  -5.000   0.400   1.000    5.0980               NaN      8.335212E-02
  -5.000   0.400   1.100    5.1180               NaN      1.221235E-01
  -5.000   0.400   1.200    5.1400               NaN      1.728677E-01
  -5.000   0.400   1.300    5.1660               NaN      2.389682E-01
  -5.000   0.400   1.400    5.1920               NaN      3.214711E-01
  -5.000   0.400   1.500    5.2200               NaN      4.240072E-01
  -5.000   0.400   1.600    5.2480               NaN      5.478908E-01
  -5.000   0.400   1.700    5.2800               NaN      6.992713E-01
  -5.000   0.400   1.800    5.3140               NaN      8.803964E-01
  -5.000   0.400   1.900    5.3480               NaN      1.092084E+00
  -5.000   0.400   2.000    5.3840               NaN      1.342172E+00
  -5.000   0.400   2.100    5.4220               NaN      1.632343E+00
  -5.000   0.400   2.200    5.4620               NaN      1.967939E+00
  -5.000   0.400   2.300    5.5020               NaN      2.352147E+00
  -5.000   0.400   2.400    5.5460               NaN      2.793350E+00
  -5.000   0.400   2.500    5.5900               NaN      3.292191E+00
  -5.000   0.400   2.600    5.6340               NaN      3.855247E+00
  -5.000   0.400   2.700    5.6820               NaN      4.490924E+00
  -5.000   0.400   2.800    5.7300               NaN      5.202366E+00
  -5.000   0.400   2.900    5.7800               NaN      5.996739E+00
  -5.000   0.400   3.000    5.8300               NaN      6.880505E+00
  -5.000   0.400   3.100    5.8820               NaN      7.861833E+00
  -5.000   0.400   3.200    5.9360               NaN      8.952172E+00
  -5.000   0.400   3.300    5.9900               NaN      1.015155E+01
  -5.000   0.400   3.400    6.0460               NaN      1.147505E+01
  -5.000   0.400   3.500    6.1020               NaN      1.293022E+01
  -5.000   0.400   3.600    6.1600               NaN      1.452839E+01
  -5.000   0.400   3.700    6.2200               NaN      1.628174E+01
  -5.000   0.400   3.800    6.2800               NaN      1.820312E+01
  -5.000   0.400   3.900    6.3400               NaN      2.030305E+01
  -5.000   0.400   4.000    6.4020               NaN      2.259899E+01
  -5.000   0.500  -4.000    6.4020               NaN      2.893112E+01
  -5.000   0.500  -3.900    6.3400               NaN      2.599933E+01
  -5.000   0.500  -3.800    6.2800               NaN      2.331607E+01
  -5.000   0.500  -3.700    6.2200               NaN      2.085895E+01
  -5.000   0.500  -3.600    6.1600               NaN      1.861602E+01
  -5.000   0.500  -3.500    6.1020               NaN      1.657100E+01
  -5.000   0.500  -3.400    6.0460               NaN      1.470840E+01
  -5.000   0.500  -3.300    5.9900               NaN      1.301367E+01
  -5.000   0.500  -3.200    5.9360               NaN      1.147793E+01
  -5.000   0.500  -3.100    5.8820               NaN      1.008024E+01
  -5.000   0.500  -3.000    5.8300               NaN      8.823007E+00
  -5.000   0.500  -2.900    5.7800               NaN      7.690630E+00
  -5.000   0.500  -2.800    5.7300               NaN      6.672482E+00
  -5.000   0.500  -2.700    5.6820               NaN      5.760400E+00
  -5.000   0.500  -2.600    5.6340               NaN      4.945081E+00
  -5.000   0.500  -2.500    5.5900               NaN      4.223305E+00
  -5.000   0.500  -2.400    5.5460               NaN      3.583609E+00
  -5.000   0.500  -2.300    5.5020               NaN      3.017260E+00
  -5.000   0.500  -2.200    5.4620               NaN      2.524668E+00
  -5.000   0.500  -2.100    5.4220               NaN      2.094128E+00
  -5.000   0.500  -2.000    5.3840               NaN      1.721944E+00
  -5.000   0.500  -1.900    5.3480               NaN      1.400977E+00
  -5.000   0.500  -1.800    5.3140               NaN      1.129745E+00
  -5.000   0.500  -1.700    5.2800               NaN      8.970842E-01
  -5.000   0.500  -1.600    5.2480               NaN      7.027256E-01
  -5.000   0.500  -1.500    5.2200               NaN      5.440775E-01
  -5.000   0.500  -1.400    5.1920               NaN      4.124517E-01
  -5.000   0.500  -1.300    5.1660               NaN      3.066035E-01
  -5.000   0.500  -1.200    5.1400               NaN      2.216431E-01
  -5.000   0.500  -1.100    5.1180               NaN      1.566032E-01
  -5.000   0.500  -1.000    5.0980               NaN      1.068699E-01
  -5.000   0.500  -0.900    5.0800               NaN      7.037959E-02
  -5.000   0.500  -0.800    5.0620               NaN      4.364044E-02
  -5.000   0.500  -0.700    5.0480               NaN      2.572803E-02
  -5.000   0.500  -0.600    5.0340               NaN      1.363491E-02
  -5.000   0.500  -0.500    5.0240               NaN      6.576684E-03
  -5.000   0.500  -0.400    5.0140               NaN      2.612320E-03
  -5.000   0.500  -0.300    5.0080               NaN      8.157078E-04
  -5.000   0.500  -0.200    5.0020               NaN      1.272194E-04
  -5.000   0.500  -0.100    5.0000               NaN      7.784733E-06
  -5.000   0.500   0.000    4.9980               NaN      0.000000E+00
  -5.000   0.500   0.100    5.0000               NaN      7.784733E-06
  -5.000   0.500   0.200    5.0020               NaN      1.272194E-04
  -5.000   0.500   0.300    5.0080               NaN      8.157078E-04
  -5.000   0.500   0.400    5.0140               NaN      2.612320E-03
  -5.000   0.500   0.500    5.0240               NaN      6.576684E-03
  -5.000   0.500   0.600    5.0340               NaN      1.363491E-02
  -5.000   0.500   0.700    5.0480               NaN      2.572803E-02
  -5.000   0.500   0.800    5.0620               NaN      4.364044E-02
  -5.000   0.500   0.900    5.0800               NaN      7.037959E-02
  -5.000   0.500   1.000    5.0980               NaN      1.068699E-01
  -5.000   0.500   1.100    5.1180               NaN      1.566032E-01
  -5.000   0.500   1.200    5.1400               NaN      2.216431E-01
  -5.000   0.500   1.300    5.1660               NaN      3.066036E-01
  -5.000   0.500   1.400    5.1920               NaN      4.124518E-01
  -5.000   0.500   1.500    5.2200               NaN      5.440776E-01
  -5.000   0.500   1.600    5.2480               NaN      7.027259E-01
  -5.000   0.500   1.700    5.2800               NaN      8.970846E-01
  -5.000   0.500   1.800    5.3140               NaN      1.129745E+00
  -5.000   0.500   1.900    5.3480               NaN      1.400977E+00
  -5.000   0.500   2.000    5.3840               NaN      1.721944E+00
  -5.000   0.500   2.100    5.4220               NaN      2.094129E+00
  -5.000   0.500   2.200    5.4620               NaN      2.524668E+00
  -5.000   0.500   2.300    5.5020               NaN      3.017261E+00
  -5.000   0.500   2.400    5.5460               NaN      3.583609E+00
  -5.000   0.500   2.500    5.5900               NaN      4.223305E+00
  -5.000   0.500   2.600    5.6340               NaN      4.945083E+00
  -5.000   0.500   2.700    5.6820               NaN      5.760400E+00
  -5.000   0.500   2.800    5.7300               NaN      6.672483E+00
  -5.000   0.500   2.900    5.7800               NaN      7.690630E+00
  -5.000   0.500   3.000    5.8300               NaN      8.823007E+00
  -5.000   0.500   3.100    5.8820               NaN      1.008024E+01
  -5.000   0.500   3.200    5.9360               NaN      1.147793E+01
  -5.000   0.500   3.300    5.9900               NaN      1.301367E+01
  -5.000   0.500   3.400    6.0460               NaN      1.470840E+01
  -5.000   0.500   3.500    6.1020               NaN      1.657100E+01
  -5.000   0.500   3.600    6.1600               NaN      1.861602E+01
  -5.000   0.500   3.700    6.2200               NaN      2.085895E+01
  -5.000   0.500   3.800    6.2800               NaN      2.331607E+01
  -5.000   0.500   3.900    6.3400               NaN      2.599933E+01
  -5.000   0.500   4.000    6.4020               NaN      2.893112E+01
  -5.000   0.600  -4.000    6.4020               NaN      3.564334E+01
  -5.000   0.600  -3.900    6.3400               NaN      3.204076E+01
  -5.000   0.600  -3.800    6.2800               NaN      2.874129E+01
  -5.000   0.600  -3.700    6.2200               NaN      2.571753E+01
  -5.000   0.600  -3.600    6.1600               NaN      2.295635E+01
  -5.000   0.600  -3.500    6.1020               NaN      2.043813E+01
  -5.000   0.600  -3.400    6.0460               NaN      1.814376E+01
  -5.000   0.600  -3.300    5.9900               NaN      1.605537E+01
  -5.000   0.600  -3.200    5.9360               NaN      1.416287E+01
  -5.000   0.600  -3.100    5.8820               NaN      1.243868E+01
  -5.000   0.600  -3.000    5.8300               NaN      1.088856E+01
  -5.000   0.600  -2.900    5.7800               NaN      9.492202E+00
  -5.000   0.600  -2.800    5.7300               NaN      8.236293E+00
  -5.000   0.600  -2.700    5.6820               NaN      7.110966E+00
  -5.000   0.600  -2.600    5.6340               NaN      6.104579E+00
  -5.000   0.600  -2.500    5.5900               NaN      5.214113E+00
  -5.000   0.600  -2.400    5.5460               NaN      4.424629E+00
  -5.000   0.600  -2.300    5.5020               NaN      3.725002E+00
  -5.000   0.600  -2.200    5.4620               NaN      3.117172E+00
  -5.000   0.600  -2.100    5.4220               NaN      2.585597E+00
  -5.000   0.600  -2.000    5.3840               NaN      2.126157E+00
  -5.000   0.600  -1.900    5.3480               NaN      1.729717E+00
  -5.000   0.600  -1.800    5.3140               NaN      1.395222E+00
  -5.000   0.600  -1.700    5.2800               NaN      1.107619E+00
  -5.000   0.600  -1.600    5.2480               NaN      8.674688E-01
  -5.000   0.600  -1.500    5.2200               NaN      6.719114E-01
  -5.000   0.600  -1.400    5.1920               NaN      5.092984E-01
  -5.000   0.600  -1.300    5.1660               NaN      3.786016E-01
  -5.000   0.600  -1.200    5.1400               NaN      2.735143E-01
  -5.000   0.600  -1.100    5.1180               NaN      1.932788E-01
  -5.000   0.600  -1.000    5.0980               NaN      1.318806E-01
  -5.000   0.600  -0.900    5.0800               NaN      8.690299E-02
  -5.000   0.600  -0.800    5.0620               NaN      5.383370E-02
  -5.000   0.600  -0.700    5.0480               NaN      3.176666E-02
  -5.000   0.600  -0.600    5.0340               NaN      1.679249E-02
  -5.000   0.600  -0.500    5.0240               NaN      8.098023E-03
  -5.000   0.600  -0.400    5.0140               NaN      3.208863E-03
  -5.000   0.600  -0.300    5.0080               NaN      1.000106E-03
  -5.000   0.600  -0.200    5.0020               NaN      1.554475E-04
  -5.000   0.600  -0.100    5.0000               NaN      1.013575E-05
  -5.000   0.600   0.000    4.9980               NaN      0.000000E+00
  -5.000   0.600   0.100    5.0000               NaN      1.013575E-05
  -5.000   0.600   0.200    5.0020               NaN      1.554475E-04
  -5.000   0.600   0.300    5.0080               NaN      1.000106E-03
  -5.000   0.600   0.400    5.0140               NaN      3.208863E-03
  -5.000   0.600   0.500    5.0240               NaN      8.098023E-03
  -5.000   0.600   0.600    5.0340               NaN      1.679249E-02
  -5.000   0.600   0.700    5.0480               NaN      3.176666E-02
  -5.000   0.600   0.800    5.0620               NaN      5.383370E-02
  -5.000   0.600   0.900    5.0800               NaN      8.690299E-02
  -5.000   0.600   1.000    5.0980               NaN      1.318806E-01
  -5.000   0.600   1.100    5.1180               NaN      1.932788E-01
  -5.000   0.600   1.200    5.1400               NaN      2.735143E-01
  -5.000   0.600   1.300    5.1660               NaN      3.786017E-01
  -5.000   0.600   1.400    5.1920               NaN      5.092986E-01
  -5.000   0.600   1.500    5.2200               NaN      6.719115E-01
  -5.000   0.600   1.600    5.2480               NaN      8.674691E-01
  -5.000   0.600   1.700    5.2800               NaN      1.107620E+00
  -5.000   0.600   1.800    5.3140               NaN      1.395223E+00
  -5.000   0.600   1.900    5.3480               NaN      1.729717E+00
  -5.000   0.600   2.000    5.3840               NaN      2.126157E+00
  -5.000   0.600   2.100    5.4220               NaN      2.585598E+00
  -5.000   0.600   2.200    5.4620               NaN      3.117172E+00
  -5.000   0.600   2.300    5.5020               NaN      3.725003E+00
  -5.000   0.600   2.400    5.5460               NaN      4.424629E+00
  -5.000   0.600   2.500    5.5900               NaN      5.214113E+00
  -5.000   0.600   2.600    5.6340               NaN      6.104580E+00
  -5.000   0.600   2.700    5.6820               NaN      7.110966E+00
  -5.000   0.600   2.800    5.7300               NaN      8.236294E+00
  -5.000   0.600   2.900    5.7800               NaN      9.492202E+00
  -5.000   0.600   3.000    5.8300               NaN      1.088856E+01
  -5.000   0.600   3.100    5.8820               NaN      1.243868E+01
  -5.000   0.600   3.200    5.9360               NaN      1.416287E+01
  -5.000   0.600   3.300    5.9900               NaN      1.605538E+01
  -5.000   0.600   3.400    6.0460               NaN      1.814376E+01
  -5.000   0.600   3.500    6.1020               NaN      2.043813E+01
  -5.000   0.600   3.600    6.1600               NaN      2.295635E+01
  -5.000   0.600   3.700    6.2200               NaN      2.571753E+01
  -5.000   0.600   3.800    6.2800               NaN      2.874130E+01
  -5.000   0.600   3.900    6.3400               NaN      3.204076E+01
  -5.000   0.600   4.000    6.4020               NaN      3.564334E+01
  -5.000   0.700  -4.000    6.4020               NaN      4.277100E+01
  -5.000   0.700  -3.900    6.3400               NaN      3.845914E+01
  -5.000   0.700  -3.800    6.2800               NaN      3.450744E+01
  -5.000   0.700  -3.700    6.2200               NaN      3.088314E+01
  -5.000   0.700  -3.600    6.1600               NaN      2.757246E+01
  -5.000   0.700  -3.500    6.1020               NaN      2.455210E+01
  -5.000   0.700  -3.400    6.0460               NaN      2.179939E+01
  -5.000   0.700  -3.300    5.9900               NaN      1.929282E+01
  -5.000   0.700  -3.200    5.9360               NaN      1.702134E+01
  -5.000   0.700  -3.100    5.8820               NaN      1.494977E+01
  -5.000   0.700  -3.000    5.8300               NaN      1.308822E+01
  -5.000   0.700  -2.900    5.7800               NaN      1.141108E+01
  -5.000   0.700  -2.800    5.7300               NaN      9.902183E+00
  -5.000   0.700  -2.700    5.6820               NaN      8.549863E+00
  -5.000   0.700  -2.600    5.6340               NaN      7.339968E+00
  -5.000   0.700  -2.500    5.5900               NaN      6.269927E+00
  -5.000   0.700  -2.400    5.5460               NaN      5.320919E+00
  -5.000   0.700  -2.300    5.5020               NaN      4.479180E+00
  -5.000   0.700  -2.200    5.4620               NaN      3.748636E+00
  -5.000   0.700  -2.100    5.4220               NaN      3.109393E+00
  -5.000   0.700  -2.000    5.3840               NaN      2.556984E+00
  -5.000   0.700  -1.900    5.3480               NaN      2.080074E+00
  -5.000   0.700  -1.800    5.3140               NaN      1.678255E+00
  -5.000   0.700  -1.700    5.2800               NaN      1.332011E+00
