A	B	C	b_limite	Volumen	Area
3.200000	0.300000	6.900000	7.604000	109.292500	142.778300
3.200000	0.300000	7.000000	7.696000	114.579100	147.087700
3.200000	0.300000	7.100000	7.786000	120.023500	151.442800
3.200000	0.300000	7.200000	7.878000	125.628200	155.869000
3.300000	0.300000	6.400000	7.200000	84.194850	121.833600
3.300000	0.300000	6.500000	7.288000	88.715980	125.841400
3.300000	0.300000	6.600000	7.378000	93.383760	129.916900
3.300000	0.300000	6.700000	7.468000	98.200040	134.049800
3.300000	0.300000	6.800000	7.558000	103.167500	138.240100
3.300000	0.300000	6.900000	7.648000	108.288200	142.488200
3.300000	0.300000	7.000000	7.738000	113.564600	146.793700
3.300000	0.300000	7.100000	7.828000	118.998900	151.157200
3.300000	0.300000	7.200000	7.920000	124.593200	155.591300
3.400000	0.300000	6.400000	7.246000	83.201350	121.476300
3.400000	0.300000	6.500000	7.334000	87.712470	125.494900
3.400000	0.300000	6.600000	7.424000	92.369820	129.580700
3.400000	0.300000	6.700000	7.512000	97.175970	133.712400
3.400000	0.300000	6.800000	7.602000	102.133100	137.912300
3.400000	0.300000	6.900000	7.692000	107.243300	142.169800
3.400000	0.300000	7.000000	7.782000	112.509300	146.484500
3.400000	0.300000	7.100000	7.872000	117.933000	150.857000
3.400000	0.300000	7.200000	7.962000	123.516900	155.287100
3.500000	0.300000	6.400000	7.294000	82.167520	121.097000
3.500000	0.300000	6.500000	7.382000	86.668320	125.127400
3.500000	0.300000	6.600000	7.470000	91.315310	129.213700
3.500000	0.300000	6.700000	7.558000	96.110890	133.356300
3.500000	0.300000	6.800000	7.646000	101.057400	137.555300
3.500000	0.300000	6.900000	7.736000	106.157300	141.822500
3.500000	0.300000	7.000000	7.826000	111.412500	146.146700
3.500000	0.300000	7.100000	7.914000	116.825400	150.516400
3.500000	0.300000	7.200000	8.004000	122.398800	154.955300
3.600000	0.300000	6.400000	7.342000	81.092540	120.683800
3.600000	0.300000	6.500000	7.430000	85.582620	124.726700
