    A       B       C     b_limite       Volumen           Area Superficial
  -2.000  -1.900   2.200    2.9720      7.282471E+01     -9.365329E+01
  -2.000  -1.900   2.300    3.0460      9.351299E+01     -1.062732E+02
  -2.000  -1.900   2.400    3.1240      1.162438E+02     -1.199708E+02
  -2.000  -1.900   2.500    3.2000      1.411110E+02     -1.343617E+02
  -2.000  -1.900   2.600    3.2800      1.682088E+02     -1.497708E+02
  -2.000  -1.900   2.700    3.3600      1.976304E+02     -1.659102E+02
  -2.000  -1.900   2.800    3.4400      2.294696E+02     -1.827382E+02
  -2.000  -1.900   2.900    3.5220      2.638192E+02     -2.003842E+02
  -2.000  -1.900   3.000    3.6040      3.007722E+02     -2.186752E+02
  -2.000  -1.800  -2.000    2.8280      3.338372E+01     -6.506249E+01
  -2.000  -1.800  -1.900    2.7580               NaN     -5.106438E+01
  -2.000  -1.800  -1.800    2.6900               NaN     -4.039112E+01
  -2.000  -1.800  -1.700    2.6240               NaN     -3.173306E+01
  -2.000  -1.800  -1.600    2.5600               NaN     -2.466060E+01
  -2.000  -1.800  -1.500    2.4980               NaN     -1.891920E+01
  -2.000  -1.800  -1.400    2.4400               NaN     -1.428182E+01
  -2.000  -1.800  -1.300    2.3840               NaN     -1.057633E+01
  -2.000  -1.800  -1.200    2.3320               NaN     -7.669414E+00
  -2.000  -1.800  -1.100    2.2820               NaN     -5.396758E+00
  -2.000  -1.800  -1.000    2.2360               NaN     -3.680881E+00
  -2.000  -1.800  -0.900    2.1920               NaN     -2.402522E+00
  -2.000  -1.800  -0.800    2.1540               NaN     -1.501425E+00
  -2.000  -1.800  -0.700    2.1180               NaN     -8.766427E-01
  -2.000  -1.800  -0.600    2.0880               NaN     -4.765853E-01
  -2.000  -1.800  -0.500    2.0600               NaN     -2.259991E-01
  -2.000  -1.800  -0.400    2.0380               NaN     -9.129135E-02
  -2.000  -1.800  -0.300    2.0220               NaN     -2.912654E-02
  -2.000  -1.800  -0.200    2.0080               NaN     -5.247119E-03
  -2.000  -1.800  -0.100    2.0020               NaN     -2.986714E-04
  -2.000  -1.800   0.000    1.9980               NaN      0.000000E+00
  -2.000  -1.800   0.100    2.0020               NaN     -2.986714E-04
  -2.000  -1.800   0.200    2.0080               NaN     -5.247119E-03
  -2.000  -1.800   0.300    2.0220               NaN     -2.912654E-02
